id,gini
13013,0.3726
13015,0.4173
13017,0.4829
13019,0.4526
13021,0.515
13023,0.5324
13025,0.4061
13027,0.4828
13029,0.4065
13031,0.4998
13033,0.4637
13035,0.4143
13037,0.6064
13039,0.4048
13043,0.5024
13045,0.4543
13047,0.3924
13049,0.4529
13051,0.471
13053,0.3433
13055,0.4422
13057,0.4112
13059,0.5398
13061,0.4742
13063,0.4229
13065,0.5403
13067,0.4566
13069,0.4737
13071,0.4772
13073,0.4189
13075,0.4688
13077,0.4175
13079,0.4181
13081,0.5032
13083,0.4207
13085,0.4677
13087,0.5228
13089,0.4903
13091,0.4458
13093,0.4639
13095,0.5197
13097,0.4079
13099,0.4844
13101,0.4583
13103,0.3834
13105,0.4641
13107,0.4855
13109,0.4651
13111,0.4404
13113,0.4196
13115,0.4612
13117,0.4168
13119,0.4278
13121,0.54
13123,0.4577
13125,0.3916
13127,0.4881
13129,0.4362
13131,0.4735
13133,0.5503
13135,0.4248
13137,0.4226
13139,0.4461
13141,0.4712
13143,0.4388
13145,0.43
13147,0.4686
13149,0.4092
13151,0.3976
13153,0.4163
13155,0.4848
13157,0.4194
13159,0.451
13161,0.4245
13163,0.4608
13165,0.4985
13167,0.4594
13169,0.4378
13171,0.4305
13173,0.4482
13175,0.5039
13177,0.4193
13179,0.4224
13181,0.4532
13183,0.367
13185,0.4734
13187,0.4362
13189,0.4652
13191,0.457
13193,0.4655
13195,0.4088
13197,0.455
13199,0.4537
13201,0.4872
13205,0.4712
13207,0.4318
13209,0.4552
13211,0.4438
13213,0.4066
13215,0.49
13217,0.4207
13219,0.4354
13221,0.4011
13223,0.3937
13225,0.4532
13227,0.4431
13229,0.4682
13231,0.4204
13233,0.4311
13235,0.4273
13237,0.4594
13239,0.4071
13241,0.5062
13243,0.6519
13245,0.479
13247,0.4171
13249,0.479
13251,0.4796
13253,0.4595
13255,0.4629
13257,0.4449
13259,0.4647
13261,0.4814
13263,0.4858
13265,0.4115
13267,0.4575
13269,0.4671
13271,0.4484
13273,0.4664
13275,0.4927
13277,0.5123
13279,0.497
13281,0.4524
13283,0.4742
13285,0.4781
13287,0.4926
13289,0.5104
13291,0.427
13293,0.4307
13295,0.4468
13297,0.4144
13299,0.4661
13301,0.476
13303,0.4738
13305,0.4457
13307,0.4276
13309,0.434
13311,0.4301
13313,0.4628
13315,0.4484
13317,0.4525
13319,0.4229
13321,0.4351
15001,0.4647
15003,0.4198
15005,0.4378
15007,0.4259
15009,0.4423
16001,0.4458
16003,0.443
16005,0.4394
16007,0.3987
16009,0.4062
16011,0.4028
16013,0.455
16015,0.4572
16017,0.4657
16019,0.4291
16021,0.4456
16023,0.4622
16025,0.4507
16027,0.4069
